Day,Patient,x,y,Start Time,Duration
0,0,35,35,1000.0,0
0,13,30,25,69.27563749741473,10
0,18,20,40,50.892651361962635,10
0,21,45,20,43.464249196573064,10
0,28,41,37,16.0,10
0,35,63,65,133.0,10
0,48,13,52,155.0,10
0,49,6,68,98.0,10
0,50,47,47,13.0,10
1,0,35,35,1000.0,0
1,7,20,50,5.0,10
1,32,35,69,105.20743687382037,10
2,0,35,35,1000.0,0
2,28,41,37,16.0,10
2,35,63,65,61.60898762952979,10
2,48,13,52,155.0,10
3,0,35,35,1000.0,0
3,18,20,40,12.0,10
3,19,15,60,66.0,10
3,49,6,68,88.69412236331664,10
4,0,35,35,1000.0,0
4,7,20,50,50.698178070456834,10
4,13,30,25,149.0,10
4,28,41,37,16.0,10
4,32,35,69,85.36746040504536,10
4,35,63,65,47.08318915758345,10
4,48,13,52,155.0,10
4,50,47,47,13.0,10
