Day,Patient,x,y,Start Time,Duration
0,0,35,35,1000.0,0
0,2,35,17,428.6761924206213,10
0,14,15,10,145.47318208634772,10
0,18,20,40,391.2171319851293,10
0,29,64,42,337.17170089403885,10
0,63,27,69,75.26520919238612,10
0,92,22,22,18.0,10
0,99,20,26,280.35290125116035,10
1,0,35,35,1000.0,0
2,0,35,35,1000.0,0
2,14,15,10,224.10755601055018,10
2,18,20,40,287.0,10
2,92,22,22,248.0,10
2,99,20,26,263.0,10
3,0,35,35,1000.0,0
4,0,35,35,1000.0,0
4,2,35,17,77.29192821584456,10
4,14,15,10,224.10755601054944,10
4,18,20,40,39.83286778035267,10
4,29,64,42,125.5803076539978,10
4,63,27,69,0.0,10
4,92,22,22,248.0,10
4,99,20,26,263.0,10
