Day,Patient,x,y,Start Time,Duration
0,0,35,35,1000.0,0
0,2,35,17,428.67619242061994,10
0,45,6,38,67.71363343042685,10
0,54,57,29,196.30978492478243,10
0,62,24,58,113.0,10
0,73,44,17,168.61797891182823,10
0,82,15,47,44.98571136906901,10
0,84,11,31,354.0,10
1,0,35,35,1000.0,0
1,42,24,12,255.0,10
1,90,31,67,0.0,10
2,0,35,35,1000.0,0
2,37,20,20,0.0,10
2,84,11,31,424.4557464432107,10
3,0,35,35,1000.0,0
3,32,35,69,81.44997055358226,10
3,45,6,38,29.0,10
3,82,15,47,417.52143294639325,10
4,0,35,35,1000.0,0
4,2,35,17,77.29192821584456,10
4,8,10,43,425.75119050318654,10
4,15,30,5,218.71351560181756,10
4,42,24,12,99.37497418943917,10
4,54,57,29,264.8382993381945,10
4,62,24,58,155.37497418943917,10
4,84,11,31,403.7095959243944,10
4,90,31,67,352.52707536044767,10
